Rank,Player,type,action,MIN,FGM/FGA,FG%,FTM/FTA,FT%,3PM,REB,AST,STL,BLK,PTS
1,Victor WembanyamaOSAC,,,33.4,9.2/18.8,0.491,4.8/5.8,0.82,2.1,12.0,4.4,1.8,4.3,25.4
2,Nikola JokicDenC,,,35.1,10.4/17.7,0.59,4.7/5.8,0.817,1.0,12.7,9.2,1.4,0.8,26.7
3,Luka DoncicLALPG,,,37.0,11.2/23.1,0.486,6.9/8.9,0.772,3.7,9.1,9.3,1.4,0.5,33.1
4,Shai Gilgeous-AlexanderOKCPG,,,34.8,11.2/21.1,0.532,8.1/9.3,0.875,1.4,5.6,6.8,2.0,0.9,32.0
5,"Anthony DavisDalC, PF",,,35.9,9.6/17.2,0.556,5.7/7.0,0.808,0.4,12.7,3.4,1.2,2.3,25.2
6,"Jayson TatumBosPF, SF",,,36.0,9.2/19.7,0.468,5.9/7.0,0.84,3.1,8.2,4.8,1.0,0.6,27.5
7,"Anthony EdwardsMinSG, SF",,,36.8,10.0/21.7,0.459,5.8/7.1,0.818,2.8,5.7,5.1,1.4,0.6,28.6
8,"James HardenLACPG, SG",,,34.7,5.2/12.0,0.431,4.5/5.1,0.877,2.6,5.3,8.9,1.1,0.7,17.4
9,"Tyrese HaliburtonIndPG, SG",,,34.8,7.7/16.1,0.479,3.0/3.5,0.857,3.0,4.2,11.5,1.4,0.7,21.4
10,Stephen CurryGSPG,,,32.4,8.7/19.1,0.456,4.1/4.4,0.921,4.7,4.7,5.3,0.8,0.4,26.2
11,Trae YoungAtlPG,,,36.2,8.4/19.3,0.434,7.0/8.0,0.87,3.0,3.0,10.7,1.3,0.2,26.7
12,"Scottie BarnesTorSF, SG, PF",,,36.3,7.5/15.8,0.473,3.2/4.1,0.777,1.6,8.3,6.0,1.3,1.4,19.7
13,"Karl-Anthony TownsNYC, PF",,,34.9,8.3/16.4,0.506,4.5/5.2,0.865,2.3,10.7,3.5,0.8,1.2,23.4
14,"Giannis AntetokounmpoMilPF, C",,,35.4,11.6/19.5,0.595,7.5/11.4,0.66,0.6,11.9,6.5,1.1,1.1,31.3
15,"Domantas SabonisSacC, PF",,,36.1,7.7/13.0,0.595,3.7/5.2,0.714,0.4,13.6,8.0,0.9,0.6,19.6
16,"Cade CunninghamDetPG, SG",,,34.9,9.1/19.9,0.455,3.9/4.4,0.893,2.3,5.2,7.8,1.0,0.4,24.4
17,"Donovan MitchellCleSG, PG",,,36.1,9.6/20.5,0.466,4.9/5.7,0.867,3.5,4.9,5.7,1.7,0.5,27.5
18,LaMelo BallOChaPG,,,34.3,8.0/18.8,0.428,3.4/3.9,0.868,3.3,6.5,8.2,1.7,0.3,22.7
19,"LeBron JamesLALSF, PF",,,35.2,9.8/18.4,0.533,4.3/5.7,0.752,2.1,7.4,8.0,1.2,0.6,26.0
20,Damian LillardOMilPG,,,35.6,7.8/18.1,0.431,6.9/7.5,0.916,3.2,4.4,7.0,0.9,0.3,25.7
21,De'Aaron FoxOSAPG,,,36.2,9.8/20.7,0.472,4.4/5.9,0.744,2.6,4.6,5.8,1.9,0.4,26.6
22,"Jaren Jackson Jr.MemC, PF",,,30.9,7.3/16.2,0.452,4.7/5.8,0.805,1.7,5.8,1.9,1.1,1.9,21.0
23,"Jalen WilliamsOKCPF, SF, C",,,33.2,7.6/14.2,0.537,2.6/3.2,0.817,1.5,4.3,4.6,1.3,0.8,19.3
24,Jalen JohnsonOAtlPF,,,34.9,6.6/12.9,0.511,2.0/2.7,0.725,1.3,9.0,3.7,1.2,0.9,16.4
25,Walker KesslerOUtahC,,,24.5,3.9/5.8,0.675,1.0/1.8,0.563,0.0,8.3,1.0,0.5,2.5,8.9
26,Myles TurnerIndC,,,28.1,6.4/12.1,0.527,3.3/4.2,0.775,1.6,7.2,1.3,0.5,2.0,17.6
27,"Kyrie IrvingODalPG, SG",,,34.5,9.5/19.2,0.496,3.3/3.6,0.909,2.9,4.9,5.1,1.2,0.5,25.2
28,Jalen BrunsonNYPG,,,35.8,10.2/21.2,0.48,5.4/6.4,0.846,2.7,3.7,6.7,0.9,0.2,28.4
29,"Derrick WhiteBosSG, PG",,,31.3,5.0/10.9,0.457,2.0/2.2,0.891,2.4,4.0,4.9,0.9,0.9,14.3
30,Ja MorantOMemPG,,,36.2,10.8/22.5,0.478,6.5/8.6,0.756,1.7,6.4,8.4,1.2,0.4,29.7
31,Kevin DurantOPhxPF,,,36.5,9.8/18.8,0.524,4.8/5.6,0.859,2.2,6.5,5.0,0.9,1.2,26.7
32,"Devin BookerOPhxPG, SG",,,36.6,10.0/20.3,0.491,6.3/7.1,0.883,2.4,4.6,6.5,0.9,0.4,28.6
33,"Tyrese MaxeyOPhiPG, SG",,,36.6,8.8/19.4,0.452,4.4/5.1,0.866,2.9,3.6,5.9,1.0,0.4,24.9
34,Nikola VucevicChiC,,,34.1,7.6/15.5,0.49,1.4/1.7,0.82,1.3,10.7,3.3,0.7,0.8,17.9
35,"Bam AdebayoMiaC, PF",,,34.9,7.8/14.7,0.528,4.3/5.6,0.764,0.2,10.4,3.8,1.2,1.2,20.0
36,Alperen SengunHouC,,,33.7,8.0/15.0,0.536,3.8/5.5,0.697,0.5,9.8,4.9,1.2,0.9,20.4
37,"Evan MobleyDTDClePF, C",,,32.0,6.4/11.4,0.563,2.5/3.6,0.698,0.4,9.1,3.0,0.9,1.5,15.7
38,"Brandon MillerOChaSF, SG",,,34.0,7.8/17.2,0.451,2.4/2.9,0.835,3.2,4.5,2.5,0.9,0.6,21.2
39,"Paul GeorgeOPhiSF, PF",,,33.1,7.7/16.6,0.466,3.7/4.1,0.895,3.1,5.3,3.8,1.5,0.5,22.2
40,Fred VanVleetHouPG,,,32.9,5.4/13.1,0.409,2.6/3.0,0.869,2.8,3.5,6.9,1.3,0.4,16.1
41,"Jaylen BrownBosSF, SG",,,34.0,9.2/18.5,0.495,3.2/4.5,0.721,2.2,5.8,3.5,1.2,0.5,23.8
42,"Kristaps PorzingisDTDBosC, PF",,,30.3,7.0/13.9,0.506,4.8/5.6,0.855,1.9,7.5,2.2,0.8,1.8,20.8
43,Brook LopezMilC,,,29.7,4.9/9.8,0.496,1.5/1.8,0.808,1.8,5.4,1.5,0.5,2.3,13.0
44,Jamal MurrayDenPG,,,32.3,7.9/16.7,0.473,2.7/3.2,0.846,2.5,4.1,6.5,1.0,0.5,21.0
45,"Dejounte MurrayONOSG, PG",,,33.6,7.6/16.6,0.46,2.1/2.6,0.798,2.1,5.2,6.2,1.4,0.3,19.4
46,Rudy GobertMinC,,,33.2,5.3/8.0,0.666,3.4/5.2,0.644,0.0,12.8,1.3,0.7,2.0,14.0
47,"Paolo BancheroOrlPF, SF",,,35.9,8.5/18.7,0.457,5.8/7.9,0.737,1.7,7.1,5.3,0.9,0.8,24.6
48,Darius GarlandOClePG,,,34.1,7.0/15.4,0.452,3.0/3.5,0.847,2.4,2.7,7.1,1.3,0.1,19.3
49,Joel EmbiidOPhiC,,,34.4,11.3/21.3,0.53,10.2/11.8,0.866,1.3,11.0,5.1,1.1,1.7,34.1
50,"Desmond BaneMemSG, SF",,,34.9,8.6/18.3,0.467,3.2/3.7,0.878,3.3,4.8,5.1,1.1,0.5,23.7
51,Victor WembanyamaOSAC,,,33.4,9.2/18.8,0.491,4.8/5.8,0.82,2.1,12.0,4.4,1.8,4.3,25.4
52,Nikola JokicDenC,,,35.1,10.4/17.7,0.59,4.7/5.8,0.817,1.0,12.7,9.2,1.4,0.8,26.7
53,Luka DoncicLALPG,,,37.0,11.2/23.1,0.486,6.9/8.9,0.772,3.7,9.1,9.3,1.4,0.5,33.1
54,Shai Gilgeous-AlexanderOKCPG,,,34.8,11.2/21.1,0.532,8.1/9.3,0.875,1.4,5.6,6.8,2.0,0.9,32.0
55,"Anthony DavisDalC, PF",,,35.9,9.6/17.2,0.556,5.7/7.0,0.808,0.4,12.7,3.4,1.2,2.3,25.2
56,"Jayson TatumBosPF, SF",,,36.0,9.2/19.7,0.468,5.9/7.0,0.84,3.1,8.2,4.8,1.0,0.6,27.5
57,"Anthony EdwardsMinSG, SF",,,36.8,10.0/21.7,0.459,5.8/7.1,0.818,2.8,5.7,5.1,1.4,0.6,28.6
58,"James HardenLACPG, SG",,,34.7,5.2/12.0,0.431,4.5/5.1,0.877,2.6,5.3,8.9,1.1,0.7,17.4
59,"Tyrese HaliburtonIndPG, SG",,,34.8,7.7/16.1,0.479,3.0/3.5,0.857,3.0,4.2,11.5,1.4,0.7,21.4
60,Stephen CurryGSPG,,,32.4,8.7/19.1,0.456,4.1/4.4,0.921,4.7,4.7,5.3,0.8,0.4,26.2
61,Trae YoungAtlPG,,,36.2,8.4/19.3,0.434,7.0/8.0,0.87,3.0,3.0,10.7,1.3,0.2,26.7
62,"Scottie BarnesTorSF, SG, PF",,,36.3,7.5/15.8,0.473,3.2/4.1,0.777,1.6,8.3,6.0,1.3,1.4,19.7
63,"Karl-Anthony TownsNYC, PF",,,34.9,8.3/16.4,0.506,4.5/5.2,0.865,2.3,10.7,3.5,0.8,1.2,23.4
64,"Giannis AntetokounmpoMilPF, C",,,35.4,11.6/19.5,0.595,7.5/11.4,0.66,0.6,11.9,6.5,1.1,1.1,31.3
65,"Domantas SabonisSacC, PF",,,36.1,7.7/13.0,0.595,3.7/5.2,0.714,0.4,13.6,8.0,0.9,0.6,19.6
66,"Cade CunninghamDetPG, SG",,,34.9,9.1/19.9,0.455,3.9/4.4,0.893,2.3,5.2,7.8,1.0,0.4,24.4
67,"Donovan MitchellCleSG, PG",,,36.1,9.6/20.5,0.466,4.9/5.7,0.867,3.5,4.9,5.7,1.7,0.5,27.5
68,LaMelo BallOChaPG,,,34.3,8.0/18.8,0.428,3.4/3.9,0.868,3.3,6.5,8.2,1.7,0.3,22.7
69,"LeBron JamesLALSF, PF",,,35.2,9.8/18.4,0.533,4.3/5.7,0.752,2.1,7.4,8.0,1.2,0.6,26.0
70,Damian LillardOMilPG,,,35.6,7.8/18.1,0.431,6.9/7.5,0.916,3.2,4.4,7.0,0.9,0.3,25.7
71,De'Aaron FoxOSAPG,,,36.2,9.8/20.7,0.472,4.4/5.9,0.744,2.6,4.6,5.8,1.9,0.4,26.6
72,"Jaren Jackson Jr.MemC, PF",,,30.9,7.3/16.2,0.452,4.7/5.8,0.805,1.7,5.8,1.9,1.1,1.9,21.0
73,"Jalen WilliamsOKCPF, SF, C",,,33.2,7.6/14.2,0.537,2.6/3.2,0.817,1.5,4.3,4.6,1.3,0.8,19.3
74,Jalen JohnsonOAtlPF,,,34.9,6.6/12.9,0.511,2.0/2.7,0.725,1.3,9.0,3.7,1.2,0.9,16.4
75,Walker KesslerOUtahC,,,24.5,3.9/5.8,0.675,1.0/1.8,0.563,0.0,8.3,1.0,0.5,2.5,8.9
76,Myles TurnerIndC,,,28.1,6.4/12.1,0.527,3.3/4.2,0.775,1.6,7.2,1.3,0.5,2.0,17.6
77,"Kyrie IrvingODalPG, SG",,,34.5,9.5/19.2,0.496,3.3/3.6,0.909,2.9,4.9,5.1,1.2,0.5,25.2
78,Jalen BrunsonNYPG,,,35.8,10.2/21.2,0.48,5.4/6.4,0.846,2.7,3.7,6.7,0.9,0.2,28.4
79,"Derrick WhiteBosSG, PG",,,31.3,5.0/10.9,0.457,2.0/2.2,0.891,2.4,4.0,4.9,0.9,0.9,14.3
80,Ja MorantOMemPG,,,36.2,10.8/22.5,0.478,6.5/8.6,0.756,1.7,6.4,8.4,1.2,0.4,29.7
81,Kevin DurantOPhxPF,,,36.5,9.8/18.8,0.524,4.8/5.6,0.859,2.2,6.5,5.0,0.9,1.2,26.7
82,"Devin BookerOPhxPG, SG",,,36.6,10.0/20.3,0.491,6.3/7.1,0.883,2.4,4.6,6.5,0.9,0.4,28.6
83,"Tyrese MaxeyOPhiPG, SG",,,36.6,8.8/19.4,0.452,4.4/5.1,0.866,2.9,3.6,5.9,1.0,0.4,24.9
84,Nikola VucevicChiC,,,34.1,7.6/15.5,0.49,1.4/1.7,0.82,1.3,10.7,3.3,0.7,0.8,17.9
85,"Bam AdebayoMiaC, PF",,,34.9,7.8/14.7,0.528,4.3/5.6,0.764,0.2,10.4,3.8,1.2,1.2,20.0
86,Alperen SengunHouC,,,33.7,8.0/15.0,0.536,3.8/5.5,0.697,0.5,9.8,4.9,1.2,0.9,20.4
87,"Evan MobleyDTDClePF, C",,,32.0,6.4/11.4,0.563,2.5/3.6,0.698,0.4,9.1,3.0,0.9,1.5,15.7
88,"Brandon MillerOChaSF, SG",,,34.0,7.8/17.2,0.451,2.4/2.9,0.835,3.2,4.5,2.5,0.9,0.6,21.2
89,"Paul GeorgeOPhiSF, PF",,,33.1,7.7/16.6,0.466,3.7/4.1,0.895,3.1,5.3,3.8,1.5,0.5,22.2
90,Fred VanVleetHouPG,,,32.9,5.4/13.1,0.409,2.6/3.0,0.869,2.8,3.5,6.9,1.3,0.4,16.1
91,"Jaylen BrownBosSF, SG",,,34.0,9.2/18.5,0.495,3.2/4.5,0.721,2.2,5.8,3.5,1.2,0.5,23.8
92,"Kristaps PorzingisDTDBosC, PF",,,30.3,7.0/13.9,0.506,4.8/5.6,0.855,1.9,7.5,2.2,0.8,1.8,20.8
93,Brook LopezMilC,,,29.7,4.9/9.8,0.496,1.5/1.8,0.808,1.8,5.4,1.5,0.5,2.3,13.0
94,Jamal MurrayDenPG,,,32.3,7.9/16.7,0.473,2.7/3.2,0.846,2.5,4.1,6.5,1.0,0.5,21.0
95,"Dejounte MurrayONOSG, PG",,,33.6,7.6/16.6,0.46,2.1/2.6,0.798,2.1,5.2,6.2,1.4,0.3,19.4
96,Rudy GobertMinC,,,33.2,5.3/8.0,0.666,3.4/5.2,0.644,0.0,12.8,1.3,0.7,2.0,14.0
97,"Paolo BancheroOrlPF, SF",,,35.9,8.5/18.7,0.457,5.8/7.9,0.737,1.7,7.1,5.3,0.9,0.8,24.6
98,Darius GarlandOClePG,,,34.1,7.0/15.4,0.452,3.0/3.5,0.847,2.4,2.7,7.1,1.3,0.1,19.3
99,Joel EmbiidOPhiC,,,34.4,11.3/21.3,0.53,10.2/11.8,0.866,1.3,11.0,5.1,1.1,1.7,34.1
100,"Desmond BaneMemSG, SF",,,34.9,8.6/18.3,0.467,3.2/3.7,0.878,3.3,4.8,5.1,1.1,0.5,23.7
101,Victor WembanyamaOSAC,,,33.4,9.2/18.8,0.491,4.8/5.8,0.82,2.1,12.0,4.4,1.8,4.3,25.4
102,Nikola JokicDenC,,,35.1,10.4/17.7,0.59,4.7/5.8,0.817,1.0,12.7,9.2,1.4,0.8,26.7
103,Luka DoncicLALPG,,,37.0,11.2/23.1,0.486,6.9/8.9,0.772,3.7,9.1,9.3,1.4,0.5,33.1
104,Shai Gilgeous-AlexanderOKCPG,,,34.8,11.2/21.1,0.532,8.1/9.3,0.875,1.4,5.6,6.8,2.0,0.9,32.0
105,"Anthony DavisDalC, PF",,,35.9,9.6/17.2,0.556,5.7/7.0,0.808,0.4,12.7,3.4,1.2,2.3,25.2
106,"Jayson TatumBosPF, SF",,,36.0,9.2/19.7,0.468,5.9/7.0,0.84,3.1,8.2,4.8,1.0,0.6,27.5
107,"Anthony EdwardsMinSG, SF",,,36.8,10.0/21.7,0.459,5.8/7.1,0.818,2.8,5.7,5.1,1.4,0.6,28.6
108,"James HardenLACPG, SG",,,34.7,5.2/12.0,0.431,4.5/5.1,0.877,2.6,5.3,8.9,1.1,0.7,17.4
109,"Tyrese HaliburtonIndPG, SG",,,34.8,7.7/16.1,0.479,3.0/3.5,0.857,3.0,4.2,11.5,1.4,0.7,21.4
110,Stephen CurryGSPG,,,32.4,8.7/19.1,0.456,4.1/4.4,0.921,4.7,4.7,5.3,0.8,0.4,26.2
111,Trae YoungAtlPG,,,36.2,8.4/19.3,0.434,7.0/8.0,0.87,3.0,3.0,10.7,1.3,0.2,26.7
112,"Scottie BarnesTorSF, SG, PF",,,36.3,7.5/15.8,0.473,3.2/4.1,0.777,1.6,8.3,6.0,1.3,1.4,19.7
113,"Karl-Anthony TownsNYC, PF",,,34.9,8.3/16.4,0.506,4.5/5.2,0.865,2.3,10.7,3.5,0.8,1.2,23.4
114,"Giannis AntetokounmpoMilPF, C",,,35.4,11.6/19.5,0.595,7.5/11.4,0.66,0.6,11.9,6.5,1.1,1.1,31.3
115,"Domantas SabonisSacC, PF",,,36.1,7.7/13.0,0.595,3.7/5.2,0.714,0.4,13.6,8.0,0.9,0.6,19.6
116,"Cade CunninghamDetPG, SG",,,34.9,9.1/19.9,0.455,3.9/4.4,0.893,2.3,5.2,7.8,1.0,0.4,24.4
117,"Donovan MitchellCleSG, PG",,,36.1,9.6/20.5,0.466,4.9/5.7,0.867,3.5,4.9,5.7,1.7,0.5,27.5
118,LaMelo BallOChaPG,,,34.3,8.0/18.8,0.428,3.4/3.9,0.868,3.3,6.5,8.2,1.7,0.3,22.7
119,"LeBron JamesLALSF, PF",,,35.2,9.8/18.4,0.533,4.3/5.7,0.752,2.1,7.4,8.0,1.2,0.6,26.0
120,Damian LillardOMilPG,,,35.6,7.8/18.1,0.431,6.9/7.5,0.916,3.2,4.4,7.0,0.9,0.3,25.7
121,De'Aaron FoxOSAPG,,,36.2,9.8/20.7,0.472,4.4/5.9,0.744,2.6,4.6,5.8,1.9,0.4,26.6
122,"Jaren Jackson Jr.MemC, PF",,,30.9,7.3/16.2,0.452,4.7/5.8,0.805,1.7,5.8,1.9,1.1,1.9,21.0
123,"Jalen WilliamsOKCPF, SF, C",,,33.2,7.6/14.2,0.537,2.6/3.2,0.817,1.5,4.3,4.6,1.3,0.8,19.3
124,Jalen JohnsonOAtlPF,,,34.9,6.6/12.9,0.511,2.0/2.7,0.725,1.3,9.0,3.7,1.2,0.9,16.4
125,Walker KesslerOUtahC,,,24.5,3.9/5.8,0.675,1.0/1.8,0.563,0.0,8.3,1.0,0.5,2.5,8.9
126,Myles TurnerIndC,,,28.1,6.4/12.1,0.527,3.3/4.2,0.775,1.6,7.2,1.3,0.5,2.0,17.6
127,"Kyrie IrvingODalPG, SG",,,34.5,9.5/19.2,0.496,3.3/3.6,0.909,2.9,4.9,5.1,1.2,0.5,25.2
128,Jalen BrunsonNYPG,,,35.8,10.2/21.2,0.48,5.4/6.4,0.846,2.7,3.7,6.7,0.9,0.2,28.4
129,"Derrick WhiteBosSG, PG",,,31.3,5.0/10.9,0.457,2.0/2.2,0.891,2.4,4.0,4.9,0.9,0.9,14.3
130,Ja MorantOMemPG,,,36.2,10.8/22.5,0.478,6.5/8.6,0.756,1.7,6.4,8.4,1.2,0.4,29.7
131,Kevin DurantOPhxPF,,,36.5,9.8/18.8,0.524,4.8/5.6,0.859,2.2,6.5,5.0,0.9,1.2,26.7
132,"Devin BookerOPhxPG, SG",,,36.6,10.0/20.3,0.491,6.3/7.1,0.883,2.4,4.6,6.5,0.9,0.4,28.6
133,"Tyrese MaxeyOPhiPG, SG",,,36.6,8.8/19.4,0.452,4.4/5.1,0.866,2.9,3.6,5.9,1.0,0.4,24.9
134,Nikola VucevicChiC,,,34.1,7.6/15.5,0.49,1.4/1.7,0.82,1.3,10.7,3.3,0.7,0.8,17.9
135,"Bam AdebayoMiaC, PF",,,34.9,7.8/14.7,0.528,4.3/5.6,0.764,0.2,10.4,3.8,1.2,1.2,20.0
136,Alperen SengunHouC,,,33.7,8.0/15.0,0.536,3.8/5.5,0.697,0.5,9.8,4.9,1.2,0.9,20.4
137,"Evan MobleyDTDClePF, C",,,32.0,6.4/11.4,0.563,2.5/3.6,0.698,0.4,9.1,3.0,0.9,1.5,15.7
138,"Brandon MillerOChaSF, SG",,,34.0,7.8/17.2,0.451,2.4/2.9,0.835,3.2,4.5,2.5,0.9,0.6,21.2
139,"Paul GeorgeOPhiSF, PF",,,33.1,7.7/16.6,0.466,3.7/4.1,0.895,3.1,5.3,3.8,1.5,0.5,22.2
140,Fred VanVleetHouPG,,,32.9,5.4/13.1,0.409,2.6/3.0,0.869,2.8,3.5,6.9,1.3,0.4,16.1
141,"Jaylen BrownBosSF, SG",,,34.0,9.2/18.5,0.495,3.2/4.5,0.721,2.2,5.8,3.5,1.2,0.5,23.8
142,"Kristaps PorzingisDTDBosC, PF",,,30.3,7.0/13.9,0.506,4.8/5.6,0.855,1.9,7.5,2.2,0.8,1.8,20.8
143,Brook LopezMilC,,,29.7,4.9/9.8,0.496,1.5/1.8,0.808,1.8,5.4,1.5,0.5,2.3,13.0
144,Jamal MurrayDenPG,,,32.3,7.9/16.7,0.473,2.7/3.2,0.846,2.5,4.1,6.5,1.0,0.5,21.0
