Rank,Player,type,action,MIN,FGM/FGA,FG%,FTM/FTA,FT%,3PM,REB,AST,STL,BLK,PTS
298,Kris DunnLACPG,,,19.7,2.5/5.2,0.477,0.5/0.7,0.733,0.6,3.0,4.1,1.1,0.4,6.1
300,T.J. McConnellIndPG,,,18.7,4.5/8.1,0.554,0.7/0.9,0.81,0.3,2.8,5.5,1.0,0.1,10.0
301,Tre JonesOChiPG,,,23.8,3.4/6.8,0.501,1.2/1.4,0.858,0.7,3.2,5.3,0.9,0.1,8.7
303,"Precious AchiuwaNYPF, C",,,17.8,2.6/5.4,0.489,0.8/1.3,0.637,0.3,5.3,1.0,0.5,0.7,6.5
307,Georges NiangAtlPF,,,21.8,3.3/7.4,0.447,0.6/0.7,0.86,1.9,3.1,1.2,0.4,0.2,9.1
308,"Eric GordonOPhiSG, SF",,,25.8,3.8/8.5,0.446,1.0/1.3,0.807,2.0,1.7,2.0,0.8,0.4,10.6
309,Trey LylesSacPF,,,19.1,2.8/6.2,0.459,1.6/2.0,0.786,1.2,4.5,1.1,0.3,0.4,8.4
310,Jarred VanderbiltLALPF,,,21.8,2.5/4.6,0.537,1.0/1.5,0.677,0.3,5.9,1.6,1.2,0.2,6.2
312,Julian StrawtherDenSF,,,13.9,2.5/5.6,0.441,0.6/0.8,0.7,1.3,1.5,1.2,0.4,0.2,6.8
314,Isaiah CollierOUtahPG,,,17.9,3.1/7.2,0.433,1.4/1.9,0.744,0.7,2.3,3.4,1.0,0.3,8.3
315,Simone FontecchioDetSF,,,22.3,3.4/7.7,0.443,0.8/1.0,0.812,1.8,3.2,1.3,0.6,0.3,9.4
316,Cody WilliamsOUtahSG,,,23.8,4.5/9.3,0.479,1.9/2.2,0.877,1.3,2.7,2.1,0.4,0.8,12.1
317,Noah ClowneyOBknPF,,,16.1,2.1/4.0,0.537,0.9/1.3,0.705,0.5,3.5,0.8,0.3,0.7,5.7
318,Brice SensabaughUtahSF,,,18.9,2.8/7.1,0.391,1.2/1.3,0.908,1.2,3.3,1.8,0.4,0.2,7.9
319,"Torrey CraigBosPF, SF",,,21.2,2.3/5.3,0.443,0.4/0.6,0.756,1.2,4.4,1.2,0.6,0.5,6.3
320,Jarace WalkerIndPF,,,10.3,1.4/3.3,0.417,0.3/0.3,0.9,0.6,1.9,1.2,0.5,0.3,3.6
321,Dariq WhiteheadBknSF,,,12.0,0.5/2.5,0.203,0.5/1.0,0.509,0.0,2.0,1.5,0.0,0.5,1.5
322,Dante ExumDalSG,,,19.8,2.9/5.5,0.532,0.9/1.2,0.775,1.0,2.7,2.9,0.4,0.1,7.8
323,Drew EubanksLACC,,,17.6,2.6/4.2,0.613,1.1/1.5,0.735,0.1,4.9,1.1,0.4,0.9,6.3
324,Jordan HawkinsONOSG,,,17.3,2.8/6.8,0.407,1.0/1.2,0.843,1.6,2.2,1.0,0.3,0.1,8.2
326,"Saddiq BeyOWshSF, PF",,,27.0,4.2/10.3,0.411,2.3/2.7,0.842,1.8,4.8,1.7,0.8,0.2,12.6
327,"Delon WrightNYPG, SG",,,18.0,1.8/4.3,0.423,0.8/1.0,0.833,0.6,2.3,2.8,1.3,0.3,5.0
329,Amir CoffeyLACSG,,,19.8,2.3/4.9,0.462,0.9/1.1,0.842,0.9,2.0,1.2,0.5,0.2,6.4
330,Marcus SasserDetPG,,,19.0,3.1/7.2,0.433,0.8/0.9,0.879,1.3,1.8,3.3,0.6,0.2,8.3
331,Kris MurrayPorPF,,,22.3,2.4/6.1,0.389,0.6/0.9,0.667,0.8,3.7,1.3,0.9,0.3,6.1
332,"Josh OkogieChaSF, SG",,,16.2,1.6/3.9,0.409,1.4/1.9,0.736,0.6,2.7,1.1,0.8,0.4,5.2
333,Gary Payton IIDTDGSSG,,,16.1,2.4/4.2,0.577,0.4/0.6,0.622,0.5,2.8,1.1,1.0,0.4,5.7
335,Reggie JacksonFAPG,,,22.1,4.0/9.4,0.421,1.0/1.2,0.832,1.3,2.0,3.6,0.5,0.1,10.2
337,Mouhamed GueyeAtlPF,,,12.2,1.3/3.8,0.349,0.8/1.0,0.838,0.5,3.7,0.7,0.8,0.7,4.0
338,Kenrich WilliamsOKCSF,,,16.8,2.3/4.7,0.48,0.2/0.4,0.5,0.9,3.5,1.5,0.6,0.2,5.6
339,Monte MorrisPhxPG,,,20.8,3.0/6.7,0.452,0.7/0.9,0.797,1.1,2.4,3.4,0.6,0.2,7.9
340,Jaxson HayesLALC,,,16.6,2.4/3.5,0.686,1.1/1.7,0.65,0.0,3.9,0.6,0.6,0.6,5.9
341,"Marvin Bagley IIIMemPF, C",,,22.6,4.8/8.8,0.542,1.8/2.4,0.732,0.3,6.5,0.9,0.4,0.6,11.6
345,Jae'Sean TateOHouSF,,,17.9,2.3/4.7,0.481,0.7/1.0,0.696,0.4,3.4,1.4,0.7,0.3,5.6
346,"Xavier TillmanBosPF, C",,,17.9,2.4/5.0,0.475,0.6/1.1,0.5,0.3,4.1,1.4,0.9,0.7,5.6
348,Maxi KleberLALPF,,,21.7,1.7/4.0,0.429,0.8/1.1,0.71,0.9,3.7,1.5,0.4,0.8,5.1
349,Alex LenLALC,,,10.7,1.3/2.4,0.558,0.6/1.0,0.641,0.0,3.0,1.0,0.2,0.6,3.4
350,Aaron HolidayHouPG,,,15.8,2.2/5.0,0.443,0.7/0.8,0.915,1.0,1.5,1.8,0.6,0.1,6.1
351,Tre JonesOChiPG,,,23.8,3.4/6.8,0.501,1.2/1.4,0.858,0.7,3.2,5.3,0.9,0.1,8.7
353,"Precious AchiuwaNYPF, C",,,17.8,2.6/5.4,0.489,0.8/1.3,0.637,0.3,5.3,1.0,0.5,0.7,6.5
357,Georges NiangAtlPF,,,21.8,3.3/7.4,0.447,0.6/0.7,0.86,1.9,3.1,1.2,0.4,0.2,9.1
358,"Eric GordonOPhiSG, SF",,,25.8,3.8/8.5,0.446,1.0/1.3,0.807,2.0,1.7,2.0,0.8,0.4,10.6
359,Trey LylesSacPF,,,19.1,2.8/6.2,0.459,1.6/2.0,0.786,1.2,4.5,1.1,0.3,0.4,8.4
360,Jarred VanderbiltLALPF,,,21.8,2.5/4.6,0.537,1.0/1.5,0.677,0.3,5.9,1.6,1.2,0.2,6.2
362,Julian StrawtherDenSF,,,13.9,2.5/5.6,0.441,0.6/0.8,0.7,1.3,1.5,1.2,0.4,0.2,6.8
364,Isaiah CollierOUtahPG,,,17.9,3.1/7.2,0.433,1.4/1.9,0.744,0.7,2.3,3.4,1.0,0.3,8.3
365,Simone FontecchioDetSF,,,22.3,3.4/7.7,0.443,0.8/1.0,0.812,1.8,3.2,1.3,0.6,0.3,9.4
366,Cody WilliamsOUtahSG,,,23.8,4.5/9.3,0.479,1.9/2.2,0.877,1.3,2.7,2.1,0.4,0.8,12.1
367,Noah ClowneyOBknPF,,,16.1,2.1/4.0,0.537,0.9/1.3,0.705,0.5,3.5,0.8,0.3,0.7,5.7
368,Brice SensabaughUtahSF,,,18.9,2.8/7.1,0.391,1.2/1.3,0.908,1.2,3.3,1.8,0.4,0.2,7.9
369,"Torrey CraigBosPF, SF",,,21.2,2.3/5.3,0.443,0.4/0.6,0.756,1.2,4.4,1.2,0.6,0.5,6.3
370,Jarace WalkerIndPF,,,10.3,1.4/3.3,0.417,0.3/0.3,0.9,0.6,1.9,1.2,0.5,0.3,3.6
371,Dariq WhiteheadBknSF,,,12.0,0.5/2.5,0.203,0.5/1.0,0.509,0.0,2.0,1.5,0.0,0.5,1.5
372,Dante ExumDalSG,,,19.8,2.9/5.5,0.532,0.9/1.2,0.775,1.0,2.7,2.9,0.4,0.1,7.8
373,Drew EubanksLACC,,,17.6,2.6/4.2,0.613,1.1/1.5,0.735,0.1,4.9,1.1,0.4,0.9,6.3
374,Jordan HawkinsONOSG,,,17.3,2.8/6.8,0.407,1.0/1.2,0.843,1.6,2.2,1.0,0.3,0.1,8.2
376,"Saddiq BeyOWshSF, PF",,,27.0,4.2/10.3,0.411,2.3/2.7,0.842,1.8,4.8,1.7,0.8,0.2,12.6
377,"Delon WrightNYPG, SG",,,18.0,1.8/4.3,0.423,0.8/1.0,0.833,0.6,2.3,2.8,1.3,0.3,5.0
379,Amir CoffeyLACSG,,,19.8,2.3/4.9,0.462,0.9/1.1,0.842,0.9,2.0,1.2,0.5,0.2,6.4
380,Marcus SasserDetPG,,,19.0,3.1/7.2,0.433,0.8/0.9,0.879,1.3,1.8,3.3,0.6,0.2,8.3
381,Kris MurrayPorPF,,,22.3,2.4/6.1,0.389,0.6/0.9,0.667,0.8,3.7,1.3,0.9,0.3,6.1
382,"Josh OkogieChaSF, SG",,,16.2,1.6/3.9,0.409,1.4/1.9,0.736,0.6,2.7,1.1,0.8,0.4,5.2
383,Gary Payton IIDTDGSSG,,,16.1,2.4/4.2,0.577,0.4/0.6,0.622,0.5,2.8,1.1,1.0,0.4,5.7
385,Reggie JacksonFAPG,,,22.1,4.0/9.4,0.421,1.0/1.2,0.832,1.3,2.0,3.6,0.5,0.1,10.2
387,Mouhamed GueyeAtlPF,,,12.2,1.3/3.8,0.349,0.8/1.0,0.838,0.5,3.7,0.7,0.8,0.7,4.0
388,Kenrich WilliamsOKCSF,,,16.8,2.3/4.7,0.48,0.2/0.4,0.5,0.9,3.5,1.5,0.6,0.2,5.6
389,Monte MorrisPhxPG,,,20.8,3.0/6.7,0.452,0.7/0.9,0.797,1.1,2.4,3.4,0.6,0.2,7.9
390,Jaxson HayesLALC,,,16.6,2.4/3.5,0.686,1.1/1.7,0.65,0.0,3.9,0.6,0.6,0.6,5.9
391,"Marvin Bagley IIIMemPF, C",,,22.6,4.8/8.8,0.542,1.8/2.4,0.732,0.3,6.5,0.9,0.4,0.6,11.6
395,Jae'Sean TateOHouSF,,,17.9,2.3/4.7,0.481,0.7/1.0,0.696,0.4,3.4,1.4,0.7,0.3,5.6
396,"Xavier TillmanBosPF, C",,,17.9,2.4/5.0,0.475,0.6/1.1,0.5,0.3,4.1,1.4,0.9,0.7,5.6
398,Maxi KleberLALPF,,,21.7,1.7/4.0,0.429,0.8/1.1,0.71,0.9,3.7,1.5,0.4,0.8,5.1
399,Alex LenLALC,,,10.7,1.3/2.4,0.558,0.6/1.0,0.641,0.0,3.0,1.0,0.2,0.6,3.4
400,Aaron HolidayHouPG,,,15.8,2.2/5.0,0.443,0.7/0.8,0.915,1.0,1.5,1.8,0.6,0.1,6.1
401,"Jeremiah Robinson-EarlNOPF, C",,,12.4,1.6/3.6,0.449,0.5/0.6,0.763,0.5,2.9,0.7,0.4,0.2,4.2
402,Terrence Shannon Jr.MinSG,,,11.1,2.2/4.8,0.45,1.1/1.4,0.814,0.6,2.7,0.4,0.6,0.4,6.0
403,Garrett TempleOTorSG,,,13.8,1.4/3.7,0.377,0.4/0.6,0.725,0.7,1.8,1.0,0.6,0.2,3.9
404,Max ChristieDalSG,,,13.8,1.4/3.4,0.424,0.5/0.6,0.78,0.6,2.1,0.8,0.3,0.2,4.0
405,Shake MiltonLALSG,,,15.5,2.2/5.1,0.435,1.0/1.2,0.831,0.5,1.9,1.9,0.4,0.2,5.9
407,Jalen WilsonBknPF,,,15.5,1.8/4.2,0.423,0.9/1.1,0.827,0.5,3.1,1.0,0.3,0.1,5.0
410,"P.J. TuckerNYPF, SF",,,21.1,1.2/2.8,0.43,0.3/0.3,0.842,0.6,3.6,0.9,0.6,0.2,3.3
412,"Jalen PickettDenSG, PG",,,6.1,0.8/1.8,0.438,0.1/0.2,0.75,0.5,0.7,1.1,0.2,0.0,2.2
414,Ben SheppardIndSG,,,14.3,1.6/4.0,0.405,0.5/0.5,0.889,0.9,1.6,0.9,0.6,0.0,4.6
416,"Andre Jackson Jr.MilSG, SF",,,10.1,0.8/1.8,0.455,0.1/0.2,0.769,0.3,2.0,0.9,0.3,0.1,2.1
418,PJ DozierFAPG,,,10.0,1.1/3.3,0.336,0.2/0.3,0.714,0.4,1.8,1.0,0.5,0.2,2.8
419,Caleb HoustanOrlSF,,,14.2,1.3/3.5,0.382,0.3/0.4,0.815,1.2,1.5,0.5,0.3,0.1,4.2
420,Jalen Hood-SchifinoFASG,,,11.3,2.0/4.7,0.425,1.5/2.1,0.695,0.5,1.3,0.8,0.3,0.2,6.0
421,Kobe BrownLACPF,,,8.9,0.9/2.0,0.43,0.0/0.0,0.659,0.4,1.4,0.6,0.3,0.1,2.1
422,Maxwell LewisBknSF,,,8.3,0.7/1.7,0.422,0.1/0.2,0.692,0.2,0.3,0.5,0.2,0.1,1.8
423,Hunter TysonDenSF,,,6.2,1.1/2.6,0.404,0.0/0.0,0.0,0.5,1.2,0.3,0.1,0.0,2.6
424,Jordan WalshBosSF,,,9.2,0.7/1.7,0.402,0.1/0.2,0.5,0.2,2.2,0.6,0.6,0.1,1.7
426,Colby JonesWshSG,,,6.9,1.0/2.6,0.396,0.2/0.4,0.56,0.1,1.5,0.7,0.3,0.2,2.4
428,"Jett HowardOrlSF, SG",,,3.6,0.6/1.7,0.33,0.1/0.2,0.538,0.4,0.4,0.3,0.1,0.1,1.6
429,Leonard MillerMinSF,,,3.2,0.6/1.2,0.479,0.1/0.1,0.667,0.1,1.2,0.5,0.1,0.1,1.3
430,Chris LivingstonMilSF,,,4.3,0.5/1.1,0.464,0.2/0.2,0.769,0.1,1.0,0.2,0.1,0.0,1.2
432,Seth LundyOLACSG,,,5.8,0.4/1.9,0.236,0.3/0.4,0.741,0.3,0.8,0.0,0.0,0.0,1.5
433,Jordan MillerLACSF,,,3.5,0.5/1.1,0.464,0.2/0.3,0.8,0.1,0.6,0.0,0.0,0.0,1.4
435,Rudy GayGSPF,,,18.0,2.7/6.5,0.408,1.0/1.3,0.792,1.1,4.1,1.0,0.4,0.3,7.5
439,Cory JosephOrlPG,,,18.1,2.0/4.7,0.421,0.8/1.0,0.814,0.9,1.7,2.9,0.4,0.2,5.7
446,JaMychal GreenGSPF,,,15.8,2.4/4.8,0.494,1.1/1.3,0.847,0.5,4.1,0.9,0.6,0.4,6.4
448,Doug McDermottSacSF,,,17.3,2.8/6.2,0.448,0.4/0.6,0.73,1.7,1.5,1.2,0.2,0.1,7.7
451,"Jeremiah Robinson-EarlNOPF, C",,,12.4,1.6/3.6,0.449,0.5/0.6,0.763,0.5,2.9,0.7,0.4,0.2,4.2
452,Terrence Shannon Jr.MinSG,,,11.1,2.2/4.8,0.45,1.1/1.4,0.814,0.6,2.7,0.4,0.6,0.4,6.0
453,Garrett TempleOTorSG,,,13.8,1.4/3.7,0.377,0.4/0.6,0.725,0.7,1.8,1.0,0.6,0.2,3.9
454,Max ChristieDalSG,,,13.8,1.4/3.4,0.424,0.5/0.6,0.78,0.6,2.1,0.8,0.3,0.2,4.0
455,Shake MiltonLALSG,,,15.5,2.2/5.1,0.435,1.0/1.2,0.831,0.5,1.9,1.9,0.4,0.2,5.9
457,Jalen WilsonBknPF,,,15.5,1.8/4.2,0.423,0.9/1.1,0.827,0.5,3.1,1.0,0.3,0.1,5.0
460,"P.J. TuckerNYPF, SF",,,21.1,1.2/2.8,0.43,0.3/0.3,0.842,0.6,3.6,0.9,0.6,0.2,3.3
462,"Jalen PickettDenSG, PG",,,6.1,0.8/1.8,0.438,0.1/0.2,0.75,0.5,0.7,1.1,0.2,0.0,2.2
464,Ben SheppardIndSG,,,14.3,1.6/4.0,0.405,0.5/0.5,0.889,0.9,1.6,0.9,0.6,0.0,4.6
466,"Andre Jackson Jr.MilSG, SF",,,10.1,0.8/1.8,0.455,0.1/0.2,0.769,0.3,2.0,0.9,0.3,0.1,2.1
468,PJ DozierFAPG,,,10.0,1.1/3.3,0.336,0.2/0.3,0.714,0.4,1.8,1.0,0.5,0.2,2.8
469,Caleb HoustanOrlSF,,,14.2,1.3/3.5,0.382,0.3/0.4,0.815,1.2,1.5,0.5,0.3,0.1,4.2
470,Jalen Hood-SchifinoFASG,,,11.3,2.0/4.7,0.425,1.5/2.1,0.695,0.5,1.3,0.8,0.3,0.2,6.0
471,Kobe BrownLACPF,,,8.9,0.9/2.0,0.43,0.0/0.0,0.659,0.4,1.4,0.6,0.3,0.1,2.1
472,Maxwell LewisBknSF,,,8.3,0.7/1.7,0.422,0.1/0.2,0.692,0.2,0.3,0.5,0.2,0.1,1.8
473,Hunter TysonDenSF,,,6.2,1.1/2.6,0.404,0.0/0.0,0.0,0.5,1.2,0.3,0.1,0.0,2.6
474,Jordan WalshBosSF,,,9.2,0.7/1.7,0.402,0.1/0.2,0.5,0.2,2.2,0.6,0.6,0.1,1.7
476,Colby JonesWshSG,,,6.9,1.0/2.6,0.396,0.2/0.4,0.56,0.1,1.5,0.7,0.3,0.2,2.4
478,"Jett HowardOrlSF, SG",,,3.6,0.6/1.7,0.33,0.1/0.2,0.538,0.4,0.4,0.3,0.1,0.1,1.6
479,Leonard MillerMinSF,,,3.2,0.6/1.2,0.479,0.1/0.1,0.667,0.1,1.2,0.5,0.1,0.1,1.3
480,Chris LivingstonMilSF,,,4.3,0.5/1.1,0.464,0.2/0.2,0.769,0.1,1.0,0.2,0.1,0.0,1.2
482,Seth LundyOLACSG,,,5.8,0.4/1.9,0.236,0.3/0.4,0.741,0.3,0.8,0.0,0.0,0.0,1.5
483,Jordan MillerLACSF,,,3.5,0.5/1.1,0.464,0.2/0.3,0.8,0.1,0.6,0.0,0.0,0.0,1.4
485,Rudy GayGSPF,,,18.0,2.7/6.5,0.408,1.0/1.3,0.792,1.1,4.1,1.0,0.4,0.3,7.5
489,Cory JosephOrlPG,,,18.1,2.0/4.7,0.421,0.8/1.0,0.814,0.9,1.7,2.9,0.4,0.2,5.7
496,JaMychal GreenGSPF,,,15.8,2.4/4.8,0.494,1.1/1.3,0.847,0.5,4.1,0.9,0.6,0.4,6.4
498,Doug McDermottSacSF,,,17.3,2.8/6.2,0.448,0.4/0.6,0.73,1.7,1.5,1.2,0.2,0.1,7.7
501,"Jeremiah Robinson-EarlNOPF, C",,,12.4,1.6/3.6,0.449,0.5/0.6,0.763,0.5,2.9,0.7,0.4,0.2,4.2
502,Terrence Shannon Jr.MinSG,,,11.1,2.2/4.8,0.45,1.1/1.4,0.814,0.6,2.7,0.4,0.6,0.4,6.0
503,Garrett TempleOTorSG,,,13.8,1.4/3.7,0.377,0.4/0.6,0.725,0.7,1.8,1.0,0.6,0.2,3.9
504,Max ChristieDalSG,,,13.8,1.4/3.4,0.424,0.5/0.6,0.78,0.6,2.1,0.8,0.3,0.2,4.0
505,Shake MiltonLALSG,,,15.5,2.2/5.1,0.435,1.0/1.2,0.831,0.5,1.9,1.9,0.4,0.2,5.9
507,Jalen WilsonBknPF,,,15.5,1.8/4.2,0.423,0.9/1.1,0.827,0.5,3.1,1.0,0.3,0.1,5.0
510,"P.J. TuckerNYPF, SF",,,21.1,1.2/2.8,0.43,0.3/0.3,0.842,0.6,3.6,0.9,0.6,0.2,3.3
512,"Jalen PickettDenSG, PG",,,6.1,0.8/1.8,0.438,0.1/0.2,0.75,0.5,0.7,1.1,0.2,0.0,2.2
514,Ben SheppardIndSG,,,14.3,1.6/4.0,0.405,0.5/0.5,0.889,0.9,1.6,0.9,0.6,0.0,4.6
516,"Andre Jackson Jr.MilSG, SF",,,10.1,0.8/1.8,0.455,0.1/0.2,0.769,0.3,2.0,0.9,0.3,0.1,2.1
518,PJ DozierFAPG,,,10.0,1.1/3.3,0.336,0.2/0.3,0.714,0.4,1.8,1.0,0.5,0.2,2.8
519,Caleb HoustanOrlSF,,,14.2,1.3/3.5,0.382,0.3/0.4,0.815,1.2,1.5,0.5,0.3,0.1,4.2
520,Jalen Hood-SchifinoFASG,,,11.3,2.0/4.7,0.425,1.5/2.1,0.695,0.5,1.3,0.8,0.3,0.2,6.0
521,Kobe BrownLACPF,,,8.9,0.9/2.0,0.43,0.0/0.0,0.659,0.4,1.4,0.6,0.3,0.1,2.1
522,Maxwell LewisBknSF,,,8.3,0.7/1.7,0.422,0.1/0.2,0.692,0.2,0.3,0.5,0.2,0.1,1.8
523,Hunter TysonDenSF,,,6.2,1.1/2.6,0.404,0.0/0.0,0.0,0.5,1.2,0.3,0.1,0.0,2.6
524,Jordan WalshBosSF,,,9.2,0.7/1.7,0.402,0.1/0.2,0.5,0.2,2.2,0.6,0.6,0.1,1.7
526,Colby JonesWshSG,,,6.9,1.0/2.6,0.396,0.2/0.4,0.56,0.1,1.5,0.7,0.3,0.2,2.4
528,"Jett HowardOrlSF, SG",,,3.6,0.6/1.7,0.33,0.1/0.2,0.538,0.4,0.4,0.3,0.1,0.1,1.6
529,Leonard MillerMinSF,,,3.2,0.6/1.2,0.479,0.1/0.1,0.667,0.1,1.2,0.5,0.1,0.1,1.3
530,Chris LivingstonMilSF,,,4.3,0.5/1.1,0.464,0.2/0.2,0.769,0.1,1.0,0.2,0.1,0.0,1.2
532,Seth LundyOLACSG,,,5.8,0.4/1.9,0.236,0.3/0.4,0.741,0.3,0.8,0.0,0.0,0.0,1.5
533,Jordan MillerLACSF,,,3.5,0.5/1.1,0.464,0.2/0.3,0.8,0.1,0.6,0.0,0.0,0.0,1.4
535,Rudy GayGSPF,,,18.0,2.7/6.5,0.408,1.0/1.3,0.792,1.1,4.1,1.0,0.4,0.3,7.5
539,Cory JosephOrlPG,,,18.1,2.0/4.7,0.421,0.8/1.0,0.814,0.9,1.7,2.9,0.4,0.2,5.7
546,JaMychal GreenGSPF,,,15.8,2.4/4.8,0.494,1.1/1.3,0.847,0.5,4.1,0.9,0.6,0.4,6.4
548,Doug McDermottSacSF,,,17.3,2.8/6.2,0.448,0.4/0.6,0.73,1.7,1.5,1.2,0.2,0.1,7.7
